calamity_id,parliament_house,mp_name,calamity_type,calamity_name,consent_date,consent_amount
CAL_LS_1,Lok Sabha,Gurjeet Singh Aujla,National Calamity,Flood 2025 in Punjab,2025-12-07,7067400.0
CAL_LS_2,Lok Sabha,Gurmeet Singh Meet Hayer,National Calamity,Flood 2025 in Punjab,2025-11-03,7500000.0
CAL_LS_3,Lok Sabha,Jual Oram,National Calamity,Flood 2025 in Punjab,2025-10-10,10000000.0
CAL_LS_4,Lok Sabha,Krishna Prasad Tenneti,National Calamity,Andhra Pradesh rainfall and consequent floods - 2024,2025-03-26,1000000.0
CAL_LS_5,Lok Sabha,Shafi Parambil,National Calamity,Meppadi landslides 2024,2025-03-02,2500000.0
CAL_LS_6,Lok Sabha,Shafi Parambil,State Calamity,Vilangad Landslides 2024,2025-03-01,2500000.0
CAL_LS_7,Lok Sabha,C N Manjunath,National Calamity,Meppadi landslides 2024,2025-02-17,500000.0
CAL_LS_8,Lok Sabha,Andimuthu Raja,National Calamity,Meppadi landslides 2024,2025-02-05,2500000.0
CAL_LS_9,Lok Sabha,Nk Premachandran,State Calamity,Wayanad landslides 2024,2024-12-07,1000000.0
CAL_LS_10,Lok Sabha,Nk Premachandran,State Calamity,Vilangad Landslides 2024,2024-12-07,1000000.0
CAL_LS_11,Lok Sabha,K Radhakrishnan,State Calamity,Wayanad landslides 2024,2024-12-04,2500000.0
CAL_LS_12,Lok Sabha,Biplab Kumar Deb,State Calamity,Natural Calamity Affected Area,2024-09-03,2500000.0
CAL_RS_1,Rajya Sabha,Hardeep Singh Puri,National Calamity,Flood 2025 in Punjab,2025-11-17,10000000.0
CAL_RS_2,Rajya Sabha,Ashok Kumar Mittal,National Calamity,Flood 2025 in Punjab,2025-11-04,10000000.0
CAL_RS_3,Rajya Sabha,Narain Dass Gupta,National Calamity,Flood 2025 in Punjab,2025-11-03,7500000.0
CAL_RS_4,Rajya Sabha,Sanjay Singh,National Calamity,Flood 2025 in Punjab,2025-11-03,10000000.0
CAL_RS_5,Rajya Sabha,Harbhajan Singh,National Calamity,Flood 2025 in Punjab,2025-11-03,10000000.0
CAL_RS_6,Rajya Sabha,Sandeep Kumar Pathak,National Calamity,Flood 2025 in Punjab,2025-10-29,10000000.0
CAL_RS_7,Rajya Sabha,Parmar Jashvantsinh Salamsinh,National Calamity,Flood 2025 in Punjab,2025-10-07,2500000.0
CAL_RS_8,Rajya Sabha,Narain Dass Gupta,National Calamity,Flood 2025 in Punjab,2025-10-06,2500000.0
CAL_RS_9,Rajya Sabha,Vikramjit Singh Sahney,National Calamity,Flood 2025 in Punjab,2025-09-19,10000000.0
CAL_RS_10,Rajya Sabha,P. P. Suneer,National Calamity,Meppadi landslides 2024,2025-04-21,7500000.0
CAL_RS_11,Rajya Sabha,John Brittas,National Calamity,Meppadi landslides 2024,2025-02-17,7500000.0
CAL_RS_12,Rajya Sabha,P. P. Suneer,National Calamity,Meppadi landslides 2024,2025-02-03,2500000.0
CAL_RS_13,Rajya Sabha,Abdul Wahab,State Calamity,Vilangad Landslides 2024,2024-12-08,1000000.0
CAL_RS_14,Rajya Sabha,P. T. Usha,State Calamity,Wayanad landslides 2024,2024-12-07,500000.0
CAL_RS_15,Rajya Sabha,P. T. Usha,State Calamity,Vilangad Landslides 2024,2024-12-07,500000.0
CAL_RS_16,Rajya Sabha,V. Sivadasan,State Calamity,Wayanad landslides 2024,2024-12-04,2500000.0
CAL_RS_17,Rajya Sabha,A. A. Rahim,State Calamity,Wayanad landslides 2024,2024-12-04,2500000.0
CAL_RS_18,Rajya Sabha,Jose K. Mani,State Calamity,Wayanad landslides 2024,2024-11-25,2500000.0
CAL_RS_19,Rajya Sabha,Sandosh Kumar P,State Calamity,Wayanad landslides 2024,2024-10-17,2500000.0
CAL_RS_20,Rajya Sabha,John Brittas,State Calamity,Wayanad landslides 2024,2024-09-10,2500000.0
