mp_id,parliament_house,mp_name,state,constituency,elected_nominated,allocated_amount
MP_LS_1,Lok Sabha,Aashtikar Patil Nagesh Bapurao,Maharashtra,HINGOLI,,190289442.0
MP_LS_2,Lok Sabha,Abdul Rashid Sheikh,Jammu And Kashmir,BARAMULLAH,,154773472.11
MP_LS_3,Lok Sabha,Abhay Kumar Sinha,Bihar,AURANGABAD_BR,,147000000.0
MP_LS_4,Lok Sabha,Abhijit Gangopadhyay,West Bengal,TAMLUK,,147000000.0
MP_LS_5,Lok Sabha,Abu Taher Khan,West Bengal,MURSHIDABAD,,147000000.0
MP_LS_6,Lok Sabha,Adhikari Soumendu,West Bengal,KANTHI,,147000000.0
MP_LS_7,Lok Sabha,Aditya Yadav,Uttar Pradesh,BADAUN,,147000000.0
MP_LS_8,Lok Sabha,Adv Adoor Prakash,Kerala,ATTINGAL,,147000000.0
MP_LS_9,Lok Sabha,Adv Dean Kuriakose,Kerala,IDUKKI,,147000000.0
MP_LS_10,Lok Sabha,Adv Gowaal Kagada Padavi,Maharashtra,NANDURBAR(ST),,147816309.11
MP_LS_11,Lok Sabha,Adv K Francis George,Kerala,KOTTAYAM,,188722256.11
MP_LS_12,Lok Sabha,Afzal Ansari,Uttar Pradesh,GHAZIPUR,,220500000.0
MP_LS_13,Lok Sabha,Aga Syed Ruhullah Mehdi,Jammu And Kashmir,SRINAGAR,,147000000.0
MP_LS_14,Lok Sabha,Ajay Bhatt,Uttarakhand,NAINITAL UDHAM SINGH NAG.,,147000000.0
MP_LS_15,Lok Sabha,Ajay Kumar Mandal,Bihar,BHAGALPUR,,147000000.0
MP_LS_16,Lok Sabha,Ajay Tamta,Uttarakhand,ALMORA(SC),,147000000.0
MP_LS_17,Lok Sabha,Ajendra Singh Lodhi,Uttar Pradesh,HAMIRPUR_UP,,147000000.0
MP_LS_18,Lok Sabha,Akhilesh Yadav,Uttar Pradesh,KANNAUJ,,147000000.0
MP_LS_19,Lok Sabha,Akshaya Yadav,Uttar Pradesh,FIROZABAD,,147000000.0
MP_LS_20,Lok Sabha,Alfred Kanngam S Arthur,Manipur,OUTER MANIPUR(ST),,147000000.0
MP_LS_21,Lok Sabha,Alok Kumar Suman,Bihar,GOPALGANJ (SC),,147000000.0
MP_LS_22,Lok Sabha,Alok Sharma,Madhya Pradesh,BHOPAL,,147000000.0
MP_LS_23,Lok Sabha,Amar Sharadrao Kale,Maharashtra,WARDHA,,147000000.0
MP_LS_24,Lok Sabha,Amarsing Tisso,Assam,Diphu (ST),,147000000.0
MP_LS_25,Lok Sabha,Ambica G Lakshminarayana Valmiki,Andhra Pradesh,ANANTAPUR,,201899064.11
MP_LS_26,Lok Sabha,Amol Ramsing Kolhe,Maharashtra,SHIRUR,,147000000.0
MP_LS_27,Lok Sabha,Amraram,Rajasthan,SIKAR,,165691544.11
MP_LS_28,Lok Sabha,Amrinder Singh Raja Warring,Punjab,LUDHIANA,,147000000.0
MP_LS_29,Lok Sabha,Anand Bhadauriya,Uttar Pradesh,DHAURAHRA,,147000000.0
MP_LS_30,Lok Sabha,Anand Kumar,Uttar Pradesh,BAHRAICH(SC),,147000000.0
MP_LS_31,Lok Sabha,Ananta Nayak,Odisha,KEONJHAR(ST),,147000000.0
