work_id,parliament_house,mp_name,state,constituency,elected_nominated,work_category,work_description,recommended_amount,recommended_date,sanctioned_amount,sanction_date,completion_amount,completion_date,work_status_raw,has_recommended,has_sanctioned,has_expenditure,has_completed,is_unmatched_work,lifecycle_status
WS/MP620/2024-2025/133166,Lok Sabha,Pralhad Venkatesh Joshi,Karnataka,DHARWAD,,Normal/Others,Construction of Community Bhavan at Navalgund TQ Belavatagi Village Pry No 1/A Near Shivanand Math Continue Work,497185.0,2024-07-08,497185.0,2024-07-09,497185.0,2024-10-14,Physical Inspection,True,True,False,True,False,Sanctioned & Completed
WS/MP620/2025-2026/133167,Lok Sabha,Pralhad Venkatesh Joshi,Karnataka,DHARWAD,,Trust and Society,Construction of College room of  CBS Charitable Foudation at Nulvi Vilage Pry No 817/3 Continued work,500000.0,2024-07-08,500000.0,2025-09-18,,,Sanction,True,True,False,False,False,Sanctioned (Pending Disbursal)
WS/MP620/2024-2025/133190,Lok Sabha,Pralhad Venkatesh Joshi,Karnataka,DHARWAD,,Trust and Society,Construction of Community Bhavan of Veerashaiv Jangam Society (R) at Ward No 21 Chidamarnagar Dharwad,450000.0,2024-07-08,450000.0,2024-09-23,,,Sanction,True,True,False,False,False,Sanctioned (Pending Disbursal)
WS/MP620/2025-2026/133191,Lok Sabha,Pralhad Venkatesh Joshi,Karnataka,DHARWAD,,Normal/Others,Construction of Maremma Cultural bhavan at Neerlgudda village Shiggava TQ,1500000.0,2024-07-08,1500000.0,2025-05-29,,,Work partially Completed,True,True,False,False,False,Sanctioned (Pending Disbursal)
WS/MP620/2024-2025/133301,Lok Sabha,Pralhad Venkatesh Joshi,Karnataka,DHARWAD,,Normal/Others,"Construction of Cultural Bhavan at Kundagol TQ, Chickgungal Village ST Colony, Pry No.202",398009.0,2024-07-09,398009.0,2024-08-22,398009.0,2025-02-03,Physical Inspection,True,True,False,True,False,Sanctioned & Completed
WS/MP620/2024-2025/133303,Lok Sabha,Pralhad Venkatesh Joshi,Karnataka,DHARWAD,,Normal/Others,Construction of Community Hall at Uppinbetageri Village Near Mallikarjun Temple Pry No1151,399104.0,2024-07-09,399104.0,2024-07-25,399104.0,2025-02-14,Physical Inspection,True,True,False,True,False,Sanctioned & Completed
WS/MP620/2024-2025/133304,Lok Sabha,Pralhad Venkatesh Joshi,Karnataka,DHARWAD,,Normal/Others,Construction of Community Hall at Shibargatti Village Near Hanamanth Temple Pry No 96,396154.0,2024-07-09,396154.0,2024-08-22,396154.0,2025-09-25,Physical Inspection,True,True,False,True,False,Sanctioned & Completed
WS/MP620/2025-2026/133305,Lok Sabha,Pralhad Venkatesh Joshi,Karnataka,DHARWAD,,Normal/Others,Construction of Community Hall at Hosategur Village Near Shri Girimalleshwar Math Pry No 518 Continue work,400000.0,2024-07-09,400000.0,2025-06-03,,,Sanction,True,True,False,False,False,Sanctioned (Pending Disbursal)
WS/MP620/2024-2025/133306,Lok Sabha,Pralhad Venkatesh Joshi,Karnataka,DHARWAD,,Normal/Others,Construction of Community Hall at Kardigudda Village Near Mallikarjun Temple Pry No 451/2,495627.0,2024-07-09,495627.0,2025-03-14,495627.0,2025-07-17,Physical Inspection,True,True,False,True,False,Sanctioned & Completed
WS/MP620/2024-2025/133307,Lok Sabha,Pralhad Venkatesh Joshi,Karnataka,DHARWAD,,Normal/Others,Construction of Community Hall at Tadakod Village Near Vittal Temple Pry No 319,398955.0,2024-07-09,398955.0,2024-08-17,398955.0,2025-07-29,Physical Inspection,True,True,False,True,False,Sanctioned & Completed
