work_id,parliament_house,raw_decision_function,converted_percentile,ml_score_contrib_30pct,risk_score,risk_level,observation_type
WS/MP433/2025-2026/229495,Lok Sabha,0.0,0.0,0.0,0.0,NORMAL,Normal Observation
WS/MP18228/2024-2025/170004,Lok Sabha,0.0,0.0,0.0,0.0,NORMAL,Normal Observation
WS/MP650/2024-2025/169380,Lok Sabha,0.0,0.0,0.0,0.0,NORMAL,Normal Observation
WS/MP859/2025-2026/208298,Lok Sabha,0.0,0.0,0.0,0.0,NORMAL,Normal Observation
WS/MP524/2025-2026/200762,Lok Sabha,0.0,0.0,0.0,0.0,NORMAL,Normal Observation
WS/MP18314/2025-2026/219829,Lok Sabha,0.0,0.0,0.0,0.0,NORMAL,Normal Observation
WS/MP381/2025-2026/205392,Lok Sabha,0.0,0.0,0.0,0.0,NORMAL,Normal Observation
WS/MP485/2025-2026/180835,Lok Sabha,0.0,0.0,0.0,0.0,NORMAL,Normal Observation
WS/MP18047/2024-2025/176003,Lok Sabha,0.0,0.0,0.0,0.0,NORMAL,Normal Observation
WS/MP18079/2025-2026/197348,Lok Sabha,0.0,0.0,0.0,0.0,NORMAL,Normal Observation
WS/MP18153/2024-2025/183047,Lok Sabha,0.0007,0.4,0.1,0.1,NORMAL,Normal Observation
WS/MP18206/2025-2026/243368,Lok Sabha,0.0007,0.4,0.1,0.1,NORMAL,Normal Observation
WS/MP386/2024-2025/145018,Lok Sabha,0.0007,0.4,0.1,0.1,NORMAL,Normal Observation
WS/MP18153/2024-2025/183016,Lok Sabha,0.0007,0.4,0.1,0.1,NORMAL,Normal Observation
WS/MP18153/2025-2026/187216,Lok Sabha,0.0007,0.4,0.1,0.1,NORMAL,Normal Observation
WS/MP18064/2025-2026/159729,Lok Sabha,0.0007,0.4,0.1,0.1,NORMAL,Normal Observation
WS/MP18064/2025-2026/159724,Lok Sabha,0.0007,0.0,0.0,0.0,NORMAL,Normal Observation
WS/MP18153/2024-2025/183039,Lok Sabha,0.0007,0.4,0.1,0.1,NORMAL,Normal Observation
WS/MP18153/2024-2025/183038,Lok Sabha,0.0007,0.4,0.1,0.1,NORMAL,Normal Observation
WS/MP18178/2025-2026/218109,Lok Sabha,0.0007,0.4,0.1,0.1,NORMAL,Normal Observation
WS/MP844/2023-2024/74812,Rajya Sabha,1.0,100.0,30.0,82.5,CRITICAL,Normal Observation
WS/MP141/2024-2025/135854,Rajya Sabha,0.9766,100.0,30.0,82.5,CRITICAL,Normal Observation
WS/MP843/2024-2025/163591,Rajya Sabha,0.9568,100.0,30.0,82.5,CRITICAL,Normal Observation
WS/MP107/2023-2024/90552,Rajya Sabha,0.9475,100.0,30.0,82.5,CRITICAL,Normal Observation
WS/MP844/2024-2025/152844,Rajya Sabha,0.9315,100.0,30.0,70.0,HIGH,Normal Observation
WS/MP165/2023-2024/96112,Rajya Sabha,0.9293,100.0,30.0,70.0,HIGH,Normal Observation
WS/MP107/2023-2024/90553,Rajya Sabha,0.9286,100.0,30.0,82.5,CRITICAL,Normal Observation
WS/MP844/2024-2025/127389,Rajya Sabha,0.9248,100.0,30.0,70.0,HIGH,Normal Observation
WS/MP140/2024-2025/142008,Rajya Sabha,0.9231,100.0,30.0,82.5,CRITICAL,Normal Observation
WS/MP176/2024-2025/149419,Rajya Sabha,0.9215,100.0,30.0,82.5,CRITICAL,Normal Observation
WS/MP140/2023-2024/16863,Rajya Sabha,0.9197,100.0,30.0,82.5,CRITICAL,Normal Observation
WS/MP140/2024-2025/164182,Rajya Sabha,0.9076,100.0,30.0,82.5,CRITICAL,Normal Observation
WS/MP145/2025-2026/193233,Rajya Sabha,0.9065,100.0,30.0,82.5,CRITICAL,Normal Observation
WS/MP103/2023-2024/31332,Rajya Sabha,0.9015,100.0,30.0,82.5,CRITICAL,Normal Observation
WS/MP201/2025-2026/162408,Rajya Sabha,0.8983,100.0,30.0,92.5,CRITICAL,Normal Observation
WS/MP141/2023-2024/80682,Rajya Sabha,0.8957,100.0,30.0,82.5,CRITICAL,Normal Observation
WS/MP165/2023-2024/95943,Rajya Sabha,0.8949,100.0,30.0,70.0,HIGH,Normal Observation
WS/MP201/2024-2025/155278,Rajya Sabha,0.8887,100.0,30.0,92.5,CRITICAL,Normal Observation
WS/MP140/2023-2024/17140,Rajya Sabha,0.8851,100.0,30.0,70.0,HIGH,Normal Observation
WS/MP18019/2026-2027/139500,Lok Sabha,0.8832,100.0,30.0,67.5,HIGH,Normal Observation
