House,Work_ID,MP,State,Constituency_or_Status,Category,Recommended_Amount,Sanction_Amount,Expenditure_Amount,Payment_Count,Vendor_Count,Recommended_Date,Sanction_Date,Completion_Date,Total_Expenditure,Peer_Group_Median,Peer_Group_IQR,Sanction_Robust_Z,Expenditure_Robust_Z,Payment_Frequency_Days,ML_Anomaly_Score,ML_Anomaly_Percentile,Rule_Score,Stat_Risk_Score,Final_Risk_Score,Risk_Classification,Triggered_Rules,Evidence_Why_Flagged
Lok Sabha,WS/MP18311/2024-2025/143656,Malvinder Singh Kang,Punjab,ANANDPUR SAHIB,Normal/Others,700000.0,,503751.0,11,2,2024-10-28,nan,nan,503751.0,232415.0,100000.0,0.0,6.04,0.0,0.7634,99.6,85,100.0,92.4,CRITICAL,"[""Potential Duplicate Payment: 6 duplicate payment transaction(s) detected"", ""Unusual Payment Fragmentation: Payment count (11 disbursements) exceeds 97th percentile threshold (5)"", ""Vendor Concentration Risk: Top vendor captures 87% of total work expenditure across 11 payments"", ""Amount Outlier: Total expenditure (\u20b9503,751.00) is significantly above peer median (Robust Z = 6.0)"", ""High ML Anomaly Percentile: Isolation Forest score in top 0.4% of population""]",Potential Duplicate Payment: 6 duplicate payment transaction(s) detected
Lok Sabha,WS/MP640/2026-2027/151613,Faggan Singh Kulaste,Madhya Pradesh,MANDLA(ST),Normal/Others,1000000.0,,950495.0,6,1,2024-11-09,nan,nan,950495.0,194635.0,287988.0,0.0,950.5,0.0,0.7706,99.7,85,100.0,92.4,CRITICAL,"[""Potential Duplicate Payment: 3 duplicate payment transaction(s) detected"", ""Unusual Payment Fragmentation: Payment count (6 disbursements) exceeds 97th percentile threshold (5)"", ""Vendor Concentration Risk: Top vendor captures 100% of total work expenditure across 6 payments"", ""Amount Outlier: Total expenditure (\u20b9950,495.00) is significantly above peer median (Robust Z = 950.5)"", ""High ML Anomaly Percentile: Isolation Forest score in top 0.3% of population""]",Potential Duplicate Payment: 3 duplicate payment transaction(s) detected
Lok Sabha,WS/MP18109/2026-2027/164962,Rajesh Mishra,Madhya Pradesh,SIDHI,Normal/Others,500000.0,,249870.0,5,1,2025-01-16,nan,nan,249870.0,194635.0,287988.0,0.0,249.87,0.0,0.6653,98.7,65,100.0,82.1,CRITICAL,"[""Potential Duplicate Payment: 3 duplicate payment transaction(s) detected"", ""Vendor Concentration Risk: Top vendor captures 100% of total work expenditure across 5 payments"", ""Amount Outlier: Total expenditure (\u20b9249,870.00) is significantly above peer median (Robust Z = 249.9)"", ""High ML Anomaly Percentile: Isolation Forest score in top 1.3% of population""]",Potential Duplicate Payment: 3 duplicate payment transaction(s) detected
Lok Sabha,WS/MP18154/2025-2026/166552,Sukhjinder Singh Randhawa,Punjab,GURDASPUR,Normal/Others,300000.0,,300000.0,7,3,2025-02-05,nan,nan,300000.0,232415.0,100000.0,0.0,3.6,7.0,0.7072,99.2,65,89.9,80.2,CRITICAL,"[""Potential Duplicate Payment: 2 duplicate payment transaction(s) detected"", ""Unusual Payment Fragmentation: Payment count (7 disbursements) exceeds 97th percentile threshold (5)"", ""Amount Outlier: Total expenditure (\u20b9300,000.00) is significantly above peer median (Robust Z = 3.6)"", ""High ML Anomaly Percentile: Isolation Forest score in top 0.8% of population""]",Potential Duplicate Payment: 2 duplicate payment transaction(s) detected
Lok Sabha,WS/MP643/2025-2026/177006,Gyaneshwar Patil,Madhya Pradesh,KHANDWA,Normal/Others,1000000.0,,599436.0,12,1,2025-03-14,nan,nan,599436.0,194635.0,287988.0,0.0,599.44,0.0,0.7575,99.6,85,100.0,92.4,CRITICAL,"[""Potential Duplicate Payment: 5 duplicate payment transaction(s) detected"", ""Unusual Payment Fragmentation: Payment count (12 disbursements) exceeds 97th percentile threshold (5)"", ""Vendor Concentration Risk: Top vendor captures 100% of total work expenditure across 12 payments"", ""Amount Outlier: Total expenditure (\u20b9599,436.00) is significantly above peer median (Robust Z = 599.4)"", ""High ML Anomaly Percentile: Isolation Forest score in top 0.4% of population""]",Potential Duplicate Payment: 5 duplicate payment transaction(s) detected
Lok Sabha,WS/MP18314/2025-2026/177352,Gurmeet Singh Meet Hayer,Punjab,SANGRUR,Normal/Others,1000000.0,,448876.0,10,4,2025-03-04,nan,nan,448876.0,232415.0,100000.0,0.0,5.38,9.1,0.768,99.7,65,100.0,82.4,CRITICAL,"[""Potential Duplicate Payment: 3 duplicate payment transaction(s) detected"", ""Unusual Payment Fragmentation: Payment count (10 disbursements) exceeds 97th percentile threshold (5)"", ""Amount Outlier: Total expenditure (\u20b9448,876.00) is significantly above peer median (Robust Z = 5.4)"", ""High ML Anomaly Percentile: Isolation Forest score in top 0.3% of population""]",Potential Duplicate Payment: 3 duplicate payment transaction(s) detected
Rajya Sabha,WS/MP182/2023-2024/15726,Radha Mohan Das Agrawal,Uttar Pradesh,Elected MP,Normal/Others,11898309.0,11898309.0,11898309.0,6,1,2023-09-03,2023-10-21,2025-12-09,11898309.0,243000.0,517984.0,22.5,21.14,98.0,0.8568,100.0,75,100.0,87.5,CRITICAL,"[""Process Inefficiency: Sanction-to-Completion duration (780 days) exceeds 95th percentile (703 days)"", ""Unusual Payment Fragmentation: Payment count (6 disbursements) exceeds 97th percentile threshold (5)"", ""Vendor Concentration Risk: Top vendor captures 100% of total work expenditure across 6 payments"", ""Amount Outlier: Sanctioned amount (\u20b911,898,309.00) is significantly above peer median (Robust Z = 22.5)"", ""High ML Anomaly Percentile: Isolation Forest score in top 0.0% of population""]",Process Inefficiency: Sanction-to-Completion duration (780 days) exceeds 95th percentile (703 days)
Rajya Sabha,WS/MP201/2023-2024/35268,Sangeeta Yadav,Uttar Pradesh,Elected MP,Normal/Others,13392000.0,13392000.0,13391204.0,15,2,2023-10-10,2023-12-20,2025-09-24,13391204.0,243000.0,517984.0,25.38,23.83,39.0,0.9087,100.0,60,100.0,80.0,CRITICAL,"[""Unusual Payment Fragmentation: Payment count (15 disbursements) exceeds 97th percentile threshold (5)"", ""Vendor Concentration Risk: Top vendor captures 95% of total work expenditure across 15 payments"", ""Amount Outlier: Sanctioned amount (\u20b913,392,000.00) is significantly above peer median (Robust Z = 25.4)"", ""High ML Anomaly Percentile: Isolation Forest score in top 0.0% of population""]",Unusual Payment Fragmentation: Payment count (15 disbursements) exceeds 97th percentile threshold (5)
Rajya Sabha,WS/MP201/2023-2024/73283,Sangeeta Yadav,Uttar Pradesh,Elected MP,Normal/Others,14923480.0,14923480.0,14923480.0,19,1,2024-01-02,2024-02-02,2025-07-06,14923480.0,243000.0,517984.0,28.34,26.6,9.8,0.9614,100.0,85,100.0,92.5,CRITICAL,"[""Potential Duplicate Payment: 16 duplicate payment transaction(s) detected"", ""Unusual Payment Fragmentation: Payment count (19 disbursements) exceeds 97th percentile threshold (5)"", ""Vendor Concentration Risk: Top vendor captures 100% of total work expenditure across 19 payments"", ""Amount Outlier: Sanctioned amount (\u20b914,923,480.00) is significantly above peer median (Robust Z = 28.3)"", ""High ML Anomaly Percentile: Isolation Forest score in top 0.0% of population""]",Potential Duplicate Payment: 16 duplicate payment transaction(s) detected
Rajya Sabha,WS/MP844/2023-2024/74812,Vikramjit Singh Sahney,Punjab,Elected MP,Normal/Others,5000000.0,5000000.0,2701979.0,141,43,2024-01-04,2024-01-19,nan,2701979.0,365800.0,700000.0,6.62,6.2,2.8,1.0,100.0,65,100.0,82.5,CRITICAL,"[""Potential Duplicate Payment: 10 duplicate payment transaction(s) detected"", ""Unusual Payment Fragmentation: Payment count (141 disbursements) exceeds 97th percentile threshold (5)"", ""Amount Outlier: Sanctioned amount (\u20b95,000,000.00) is significantly above peer median (Robust Z = 6.6)"", ""High ML Anomaly Percentile: Isolation Forest score in top 0.0% of population""]",Potential Duplicate Payment: 10 duplicate payment transaction(s) detected
